params,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_train_balanced_accuracy,mean_test_precision,std_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,std_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,std_test_f1,rank_test_f1,mean_train_f1,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,mean_train_precision_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,mean_train_recall_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,mean_train_f1_macro,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.2}",0.8144238026567423,0.007763983458642321,2,0.8753095067725539,0.8275126496021888,0.0073261057523297075,1,0.8914494419035665,0.9147128532166509,0.0052222994869314246,17,0.9695163220819101,0.7742919207196095,0.009782089751974605,4,0.8258215434965368,0.8386438240278379,0.007303639690588141,2,0.8919094511641216,0.808666117766305,0.0071313239009874905,1,0.8691773027335188,0.8275126496021888,0.0073261057523297075,1,0.8914494419035665,0.8101387922384881,0.007722717177927581,1,0.872295561320847,0.8991056588777007,0.004536234480831935,4,0.9404139410888398
"{'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.2}",0.8146448459812341,0.007041343600240656,1,0.8858772530297347,0.8262776962059799,0.006644015175325769,7,0.9008803660724334,0.9105439269050686,0.004388261642436923,19,0.9732793112449197,0.7789762702521168,0.008565286451431248,1,0.8398750909822837,0.8396250790526928,0.006569248484220483,1,0.9016608571704658,0.8079062163387167,0.006524087199315611,3,0.87879222061543,0.8262776962059799,0.006644015175325769,7,0.9008803660724334,0.810031479157516,0.007011735918027346,2,0.8828577359827203,0.8982291718097727,0.004329083962488272,7,0.9476922526549645
"{'model__n_estimators': 300, 'model__max_depth': 7, 'model__learning_rate': 0.1}",0.8139815596207066,0.006227609511795551,3,0.8843296864790959,0.826903039818621,0.0056230322091646665,4,0.9001591405584582,0.9138902315504893,0.004043871103778108,18,0.9749620156158658,0.7743628174575281,0.008957240477577507,3,0.835793889730889,0.8383360997298398,0.006024098432040262,3,0.900025048243195,0.8081329122869787,0.005553930454418462,2,0.8777175945517115,0.826903039818621,0.0056230322091646665,4,0.9001591405584582,0.8096532053508259,0.006126067702381312,3,0.8814056850563926,0.8993214335704784,0.004836739494982987,2,0.9469473903122371
"{'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.1}",0.8115053856768618,0.006740209661148964,5,0.8739830226415493,0.8264893070183362,0.005524711499458342,6,0.8911661186301852,0.918264067375644,0.00243466453840471,15,0.9720928603689616,0.7655614938501992,0.010806318959162809,6,0.8212967006969846,0.8349515524561323,0.006831045931900534,5,0.89035071739957,0.8072687530545644,0.005516209795005848,6,0.8685376240995527,0.8264893070183362,0.005524711499458342,6,0.8911661186301852,0.8076106728074672,0.006518499125519466,4,0.8711100851343669,0.8995427135408394,0.004645735205800604,1,0.9403868669374627
"{'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.2}",0.8119476287128974,0.0060320269940023164,4,0.8917138395392691,0.823163753040659,0.005029719771418954,13,0.9067397264544766,0.9073344918073076,0.003524641830653392,20,0.9775006621074931,0.7775568742248031,0.010102369920830375,2,0.8456420265327292,0.8374096460194174,0.006055048986032335,4,0.9067993780757673,0.8050887902626341,0.005173728874084233,13,0.88447831096051,0.823163753040659,0.005029719771418954,13,0.9067397264544766,0.8072058076765046,0.005828511965567454,5,0.8887997889106909,0.8964844775631585,0.004499127265580523,12,0.9528694929035273
"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",0.8103557160347359,0.005219081278309733,7,0.8518858352879152,0.8274189680395496,0.0044572416222629545,2,0.8707222507041287,0.9238824703790336,0.003147492565946238,13,0.9614132766834729,0.7580383018744806,0.008313975069153871,8,0.7941301668633503,0.8327581773377661,0.005311403681244507,7,0.8697897233237093,0.8078094938559724,0.004268145762979601,4,0.8486170473033724,0.8274189680395496,0.0044572416222629545,2,0.8707222507041287,0.8068823552171456,0.005076163695194502,6,0.849028579933664,0.8991619324846811,0.004449429626855563,3,0.9274641515370334
"{'model__n_estimators': 100, 'model__max_depth': 7, 'model__learning_rate': 0.2}",0.8104441822354864,0.005450931293447533,6,0.8767907719370521,0.8245497544123565,0.004093191118275658,11,0.893992622621927,0.9148017426380657,0.003002714882945694,16,0.9742011059055399,0.7671942099485709,0.010410187953305927,5,0.8240471363005444,0.8344737146496675,0.0057930689249625885,6,0.8928522431836153,0.805617870383338,0.00419442048871843,11,0.8712471329690754,0.8245497544123565,0.004093191118275658,11,0.893992622621927,0.8063468985751602,0.005169228587612795,7,0.8739579714906576,0.897282404051829,0.004219033227425325,9,0.9417431459705441
"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.2}",0.8094271190396741,0.004343124305403447,8,0.8553236637360861,0.8261646152896415,0.00433678591728167,8,0.8739155382563064,0.9221657216730705,0.005246531432678263,14,0.9631514190655984,0.7581090726409387,0.006760836905800845,7,0.7983178486350753,0.8321011942860801,0.004214941940053778,8,0.8730141107545031,0.8066603447649079,0.004077676920944945,8,0.8516907744263698,0.8261646152896415,0.00433678591728167,8,0.8739155382563064,0.8058782630802217,0.004321130666534904,8,0.8524582819025006,0.8979885404229222,0.003988600671132314,8,0.9282553564267643
"{'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.1}",0.808587105535652,0.006369675791743256,9,0.8340997545061573,0.8267633549203308,0.005647290475188401,5,0.8533218344408011,0.9260440162241903,0.0034814999885083605,12,0.9492330991899556,0.7528570705135328,0.009056500163029908,9,0.7751614445559205,0.830494626235262,0.00634305462891577,9,0.8534027633189364,0.8070872260778618,0.005353141441169151,7,0.8320672784381762,0.8267633549203308,0.005647290475188401,5,0.8533218344408011,0.8053280056642915,0.00624841550446547,9,0.8311702350740591,0.8988007795238099,0.0038788405261976568,5,0.9161201999175679
"{'model__n_estimators': 100, 'model__max_depth': 7, 'model__learning_rate': 0.1}",0.8083659449208712,0.005630962796999638,10,0.8532897047422671,0.8271410124931691,0.004682455734248021,3,0.8738398093188995,0.9278120646289197,0.002469199658444219,11,0.9684101123992803,0.7507981677703027,0.008945538413920059,10,0.7902796461194525,0.8299446576810755,0.005794428661355495,10,0.8703199414885188,0.807417623914446,0.0044472882118070595,5,0.8513343236291145,0.8271410124931691,0.004682455734248021,3,0.8738398093188995,0.805221224463158,0.005460094564822912,10,0.8507141613507573,0.8985186733749654,0.004456557578499175,6,0.9288404915630142
