params,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_train_balanced_accuracy,mean_test_precision,std_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,std_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,std_test_f1,rank_test_f1,mean_train_f1,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,mean_train_precision_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,mean_train_recall_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,mean_train_f1_macro,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': None}",0.8166785911794182,0.0075919884511828585,1,0.8719158924865547,0.8266597076827573,0.007152508457860094,1,0.8838877411114634,0.907241760529675,0.004504264785115616,21,0.9534162302733868,0.7860745352975812,0.009085959537052058,5,0.8352083428967451,0.8423115686681705,0.007026854941001944,1,0.8904019232578471,0.8088823193160598,0.007101515857750266,1,0.8637209200695727,0.8266597076827573,0.007152508457860094,1,0.8838877411114634,0.8116986656033139,0.007572713680732338,1,0.868164115733881,0.9014158071904571,0.0034904632016689767,2,0.9411953905841415
"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': None}",0.8165459456363419,0.006658898716861648,2,0.8719158973744602,0.8264837637885515,0.006073579879051215,2,0.8838761600416329,0.9070243934640054,0.003442887689088221,23,0.9533805340941084,0.7860744849089969,0.008617672860981328,6,0.8352438274829183,0.8422159698297127,0.0062644698622332734,2,0.8904057308756237,0.808732045067876,0.006121773637622356,2,0.8637175375606834,0.8264837637885515,0.006073579879051215,2,0.8838761600416329,0.8115531583550538,0.006594630285451586,2,0.8681620543209926,0.9015603752829421,0.0034505642368996307,1,0.9411321087964497
"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_depth': None}",0.8160597285159865,0.006641752308305526,3,0.8718937826560218,0.8261400769516763,0.005971148271868497,3,0.8839451972398494,0.9070733027835676,0.003178837129091586,22,0.9536552516418133,0.7851518195443713,0.008836592489457954,7,0.8349421825257469,0.8417056271967194,0.00630465596615124,4,0.8903552298375637,0.8083446131461717,0.006038398898590322,3,0.8637326018923911,0.8261400769516763,0.005971148271868497,3,0.8839451972398494,0.8110958147662476,0.006553126651624122,3,0.8681549976994944,0.9009815983446987,0.0034809730748486625,6,0.9414141097597938
"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_depth': None}",0.8153078782128009,0.005361313572499713,4,0.8724354420381815,0.8254669979770277,0.004938240635817327,6,0.8843220585638356,0.9067516530359321,0.0029718723047411164,24,0.9535185596641174,0.7841579803046141,0.0068454458274473644,9,0.8359890872264369,0.8410022420627652,0.005036660709296664,6,0.8908889309161474,0.8076470830954943,0.004937267674995341,4,0.8641957406515598,0.8254669979770277,0.004938240635817327,6,0.8843220585638356,0.8103520121766025,0.005316155999388188,4,0.8686778211704176,0.9011992494056642,0.0033650021206160113,4,0.9415868091296964
"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_depth': None}",0.8149542382161868,0.006243484225932533,5,0.872369112546583,0.8251366448569695,0.005748019967613612,9,0.8844193021689583,0.9065574255351162,0.0036632281770843356,25,0.9539888112143904,0.783732221962721,0.008165259916254919,10,0.8354212787498192,0.8406680524680015,0.005884341376512223,8,0.8907721800474746,0.8073295239164875,0.005741589721277108,5,0.864200142751327,0.8251366448569695,0.005748019967613612,9,0.8844193021689583,0.8100002979110498,0.006186623307199682,5,0.8686390601903128,0.9012474552417412,0.003410168165449852,3,0.9415713152583928
"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': None}",0.8149540916033249,0.007159455118766538,6,0.871694814343838,0.824720062265313,0.006737792479175841,11,0.8835771861982515,0.9053587690822532,0.00462877525542453,26,0.9529752255543167,0.7850098749027815,0.009013567466087476,8,0.8352615737115652,0.8408831557641662,0.0066681788084783115,7,0.8902412716691698,0.8070960812732662,0.00667681626190523,6,0.8634618279231642,0.824720062265313,0.006737792479175841,11,0.8835771861982515,0.8098996606093714,0.007131020777630323,6,0.8679230014525914,0.9010320936917768,0.0035012934903118982,5,0.9410245944628048
"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': None}",0.8127432673907778,0.005513140995974768,7,0.9008555955137775,0.8169734768686894,0.004232299167299021,17,0.9101764329913674,0.8885278871239972,0.003201029648534779,27,0.965226865171241,0.7997732765655543,0.01063937276350228,1,0.8722762443470398,0.8417713905570018,0.005636578728231603,3,0.9163996265885668,0.8023643341528814,0.004874540293315033,17,0.8915822795566349,0.8169734768686894,0.004232299167299021,17,0.9101764329913674,0.80620110927868,0.005204916320321431,7,0.8973051294218607,0.8969824037463908,0.002895292814620237,8,0.9595646587934077
"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': None}",0.8120800396753953,0.005326649203928375,8,0.9009771956102843,0.8164878167837595,0.004227137536570219,18,0.9104765832722551,0.8885035933451059,0.0026192618346892555,28,0.9658753454136301,0.7985665959462886,0.009495292485871588,2,0.8718503883831327,0.8411052485009222,0.005345794586308978,5,0.9164552898863064,0.8017487353179771,0.00475269984817957,18,0.8917420365865523,0.8164878167837595,0.004227137536570219,18,0.9104765832722551,0.8055788196069805,0.005079839428522669,8,0.8974570420237045,0.8971360053492298,0.0030204303997653204,7,0.9597054262072415
"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_depth': None}",0.8111073219831519,0.005650296951184572,9,0.9076096675883181,0.8154527145074468,0.0043488748472787315,21,0.9185487906467905,0.8876361243848965,0.002481874572126217,29,0.9750399670460332,0.7977860263890054,0.01033704364914238,4,0.8740684213850415,0.8402771788445825,0.005735503191096505,9,0.9217959990619272,0.8007755299050239,0.004977346235902516,19,0.8986866761798948,0.8154527145074468,0.0043488748472787315,21,0.9185487906467905,0.8045727642731348,0.005352407566071179,9,0.9044656916670275,0.8943839439247905,0.0034927031061159127,14,0.966123037380916
"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_depth': None}",0.8109746666658847,0.005967565540005872,10,0.9076317749748979,0.8151609061311982,0.004717868589029325,27,0.9186359571253149,0.8871276609142367,0.0032134016891041703,30,0.9752679591410642,0.7981409635758562,0.0109098928952129,3,0.8738909685439162,0.840239666278103,0.006025667028861327,10,0.9217985064281853,0.8005949351736431,0.0053099741862390635,20,0.8987252854983842,0.8151609061311982,0.004717868589029325,27,0.9186359571253149,0.8043916754025029,0.005675413551183902,10,0.9044971845663362,0.8938068520875568,0.0032865857791333605,20,0.9659547012077445
